car_condition,service_type,staff_experience,spare_part_status,workload,turnaround_time,car_condition_encoded,service_type_encoded,spare_part_status_encoded
Excellent,Tire Rotation,9,In Stock,7,5.638980723138497,0,5,1
Good,Tire Rotation,12,In Stock,2,4.201463049738388,2,5,1
Excellent,AC Service,15,In Stock,1,4.229358852885386,0,0,1
Fair,Oil Change,20,In Stock,10,3.198463456521342,1,4,1
Fair,AC Service,3,In Stock,2,10.940309852457847,1,0,1
Good,Engine Repair,10,Available Soon,8,25.86126232561629,2,3,0
Excellent,Oil Change,1,In Stock,10,6.27558811570896,0,4,1
Good,Brake Service,19,In Stock,3,4.081573527013172,2,1,1
Good,Brake Service,19,In Stock,4,3.4964060564911374,2,1,1
Fair,Tire Rotation,13,In Stock,8,6.369519037337493,1,5,1
Fair,Engine Repair,12,In Stock,3,12.591824346390677,1,3,1
Fair,Transmission,1,In Stock,6,29.74956543179193,1,6,1
Good,Engine Repair,19,Available Soon,2,9.680017322932207,2,3,0
Excellent,Brake Service,16,Need Ordering,3,12.365346589109832,0,1,2
Fair,Transmission,15,Available Soon,1,15.284797749392553,1,6,0
Fair,Engine Repair,16,In Stock,9,14.408550693871101,1,3,1
Good,Engine Repair,11,In Stock,4,13.632747237710447,2,3,1
Fair,Transmission,6,In Stock,6,24.831118461535954,1,6,1
Good,Brake Service,11,Available Soon,7,11.489249213448474,2,1,0
Good,Engine Repair,3,Need Ordering,2,49.71688123754881,2,3,2
Good,Transmission,15,In Stock,8,16.043776786676993,2,6,1
Excellent,Electrical,1,In Stock,9,18.158821345837392,0,2,1
Excellent,Electrical,7,Available Soon,10,22.851713705617755,0,2,0
